name,url,description,test_type,remote_testing,adaptive_irt,duration_minutes,skills_covered,skill_domains,assessment_category,job_roles,seniority_levels,assessment_focus,keywords
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","A, E, B, C, D, P",Yes,No,,"[""Application Development"", ""Application Foundation"", ""Data Modeling"", ""Deployment"", ""Diagnostics"", ""Performance"", ""Portability"", ""Security"", ""Model-View-Controller (MVC) architecture"", ""validation"", ""security"", ""routing"", ""areas""]","[""Application Development"", ""Application Foundation"", ""Data Modeling"", ""Deployment"", ""Diagnostics"", ""Performance"", ""Portability"", ""Security""]",Technical,"[""Software Developer"", ""Software Engineer"", ""IT Professional""]","[""Intermediate"", ""Senior""]",Technical skills,"["".NET Framework"", ""Application Development"", ""Model-View-Controller (MVC)""]"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",K,Yes,Yes,30.0,"[""Application Development"", ""Application Foundation"", ""Data Modeling"", ""Deployment"", ""Diagnostics"", ""Performance"", ""Portability"", ""Security""]","[""Application Development"", ""Application Foundation"", ""Data Modeling"", ""Deployment"", ""Diagnostics"", ""Performance"", ""Portability"", ""Security""]",Technical,"[""Software Developer"", ""Software Engineer"", ""IT Professional""]","[""Intermediate"", ""Senior""]",Technical skills,"["".NET Framework"", ""Application Development""]"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",K,Yes,No,17.0,"[""Model-View-Controller (MVC) architecture"", ""validation"", ""security"", ""routing"", ""areas""]","[""Application Development"", ""Application Foundation"", ""Data Modeling"", ""Deployment"", ""Diagnostics"", ""Performance"", ""Portability"", ""Security""]",Technical,"[""Software Developer"", ""Software Engineer"", ""IT Professional""]","[""Intermediate"", ""Senior""]",Technical skills,"[""Model-View-Controller (MVC)""]"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",K,Yes,No,5.0,"[""MVVM pattern"", ""data validation"", ""ViewModel communication""]","[""Software Development"", ""Microsoft .NET""]",Technical,"[""Software Developer"", ""Software Engineer""]","[""Junior"", ""Mid-level""]",Knowledge of MVVM pattern,"["".NET"", ""MVVM"", ""WPF"", ""WCF"", ""Software Development""]"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",K,Yes,No,11.0,"[""WCF architecture"", ""SOA"", ""WCF programming model""]","[""Software Development"", ""Microsoft .NET""]",Technical,"[""Software Developer"", ""Software Engineer""]","[""Junior"", ""Mid-level""]",Knowledge of WCF architecture,"["".NET"", ""WCF"", ""SOA"", ""Software Development"", ""Microsoft""]"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",K,Yes,No,9.0,"[""WPF"", ""XAML controls"", ""WPF events"", ""WPF layouts""]","[""Software Development"", ""Microsoft .NET""]",Technical,"[""Software Developer"", ""Software Engineer""]","[""Junior"", ""Mid-level""]",Knowledge of WPF,"["".NET"", ""WPF"", ""XAML"", ""Software Development"", ""Microsoft""]"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",K,Yes,No,5.0,"[""XAML"", ""Data Binding"", ""Custom Controls"", ""Layouts""]","[""Programming"", ""User Interface""]",Technical,"[""Software Developer""]","[""Junior"", ""Mid-level""]",Knowledge,"[""XAML"", ""Data Binding"", ""Custom Controls"", ""Layouts"", ""Multi-choice test""]"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",K,Yes,No,9.0,"[""Payables"", ""Vendor Invoices"", ""Journal Entries""]","[""Accounting"", ""Finance""]",Technical,"[""Accountant""]","[""Junior"", ""Mid-level""]",Knowledge,"[""Payables"", ""Vendor Invoices"", ""Journal Entries"", ""Multiple-choice test"", ""Accounts Payable""]"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,S,Yes,No,8.0,"[""Payables"", ""Vendor Invoices""]","[""Accounting"", ""Finance""]",Behavioral,"[""Accountant""]","[""Mid-level"", ""Senior""]",Behavior,"[""Payables"", ""Vendor Invoices"", ""Simulation"", ""Data Entry""]"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,K,Yes,No,13.0,"[""Accounts Receivable"", ""Invoicing""]","[""Finance"", ""Accounting""]",Technical,"[""Accounts Receivable Clerk"", ""Accountant""]","[""Junior"", ""Mid-level""]",Knowledge of processing receivables and invoices,"[""Accounts Receivable"", ""Invoicing"", ""Finance"", ""Accounting""]"
